Batch,Divison,Home Location in*,Your Internet connection,Managing Learning Materials are,Class system perference,Your participation during faculty lecture,Gaps in learning and decline in academic performance,Weakening of relationships between friends and sense of community,How effective has online class been for you?,Experience about online classes
192,Barishal,Town,Average,Avarage,Online conference platforms,Somewhat attentive,Isn't worry,Is a worry,Slightly effective,Average
193,Barishal,City,Good,Easy,Uploaded lecture notes,Attentive,Is a worry,Is a worry,Moderately effective,Bad
182,Dhaka,City,Good,Easy,Online conference platforms,Doing other activities,Isn't worry,Is a worry,Slightly effective,Average
192,Rangpur,Village,Bad,Difficult,Uploaded lecture notes,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Bad
202,Dhaka,City,Good,Easy,Online conference platforms,Sleepy,Is a worry,Isn't worry,Moderately effective,Average
221,Dhaka,City,Average,Avarage,Youtube,Sleepy,Is a worry,Is a worry,Slightly effective,Good
193,Mymensingh,Town,Bad,Avarage,Recorded video,Attentive,Isn't worry,Do not know,Moderately effective,Good
182,Barishal,Village,Bad,Avarage,Recorded video,Doing other activities,Isn't worry,Is a worry,Not at all effective,Bad
201,Dhaka,City,Very Bad,Avarage,Online conference platforms,Doing other activities,Is a worry,Is a worry,Very effective,Good
173,Rangpur,City,Bad,Avarage,Recorded video,Sleepy,Is a worry,Is a worry,Slightly effective,Bad
202,Chattogram,City,Average,Easy,Recorded video,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Average
202,Dhaka,City,Average,Easy,Online conference platforms,Attentive,Is a worry,Is a worry,Very effective,Good
201,Mymensingh,City,Average,Easy,Uploaded lecture notes,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Good
191,Rajshahi,Village,Bad,Avarage,Recorded video,Doing other activities,Is a worry,Is a worry,Slightly effective,Average
183,Mymensingh,Village,Bad,Difficult,Recorded video,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Bad
202,Rajshahi,Town,Good,Avarage,Youtube,Somewhat attentive,Is a worry,Do not know,Very effective,Bad
191,Dhaka,Town,Bad,Avarage,Youtube,Sleepy,Do not know,Is a worry,Very effective,Good
192,Sylhet,Town,Average,Difficult,Youtube,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Good
192,Rangpur,City,Bad,Avarage,Recorded video,Sleepy,Is a worry,Is a worry,Slightly effective,Bad
192,Rangpur,Town,Average,Easy,Recorded video,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Average
192,Rangpur,City,Bad,Avarage,Online conference platforms,Sleepy,Isn't worry,Is a worry,Slightly effective,Bad
183,Mymensingh,Town,Bad,Avarage,Recorded video,Doing other activities,Is a worry,Is a worry,Slightly effective,Bad
193,Khulna,Town,Average,Avarage,Youtube,Attentive,Is a worry,Isn't worry,Slightly effective,Good
193,Barishal,City,Bad,Avarage,Online conference platforms,Sleepy,Isn't worry,Is a worry,Slightly effective,Bad
193,Dhaka,City,Average,Avarage,Recorded video,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Bad
202,Dhaka,City,Bad,Avarage,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Bad
202,Dhaka,City,Bad,Avarage,Uploaded lecture notes,Doing other activities,Is a worry,Is a worry,Moderately effective,Bad
202,Dhaka,Town,Good,Avarage,Youtube,Doing other activities,Is a worry,Is a worry,Moderately effective,Bad
201,Mymensingh,City,Average,Avarage,Recorded video,Attentive,Isn't worry,Is a worry,Slightly effective,Bad
193,Dhaka,City,Bad,Avarage,Recorded video,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Bad
192,Dhaka,City,Good,Avarage,Online conference platforms,Somewhat attentive,Isn't worry,Is a worry,Very effective,Good
192,Rajshahi,Village,Bad,Difficult,Uploaded lecture notes,Sleepy,Is a worry,Is a worry,Slightly effective,Bad
191,Dhaka,Town,Very Good,Avarage,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Bad
191,Dhaka,City,Good,Easy,Online conference platforms,Sleepy,Is a worry,Is a worry,Slightly effective,Bad
192,Mymensingh,Town,Very Good,Easy,Youtube,Attentive,Isn't worry,Isn't worry,Not at all effective,Good
202,Dhaka,City,Average,Easy,Recorded video,Doing other activities,Isn't worry,Isn't worry,Slightly effective,Average
210,Dhaka,City,Average,Avarage,Recorded video,Sleepy,Isn't worry,Isn't worry,Not at all effective,Good
183,Dhaka,Town,Average,Difficult,Online conference platforms,Somewhat attentive,Isn't worry,Do not know,Not at all effective,Average
193,Mymensingh,,Very Good,Avarage,Youtube,Sleepy,Isn't worry,Is a worry,Not at all effective,Average
211,Sylhet,Village,Bad,Difficult,Recorded video,Somewhat attentive,Is a worry,Do not know,Not at all effective,Bad
192,Mymensingh,Town,Average,Avarage,Uploaded lecture notes,Somewhat attentive,Is a worry,Isn't worry,Slightly effective,Average
212,Dhaka,City,Very Good,Easy,Youtube,Doing other activities,Isn't worry,Isn't worry,Moderately effective,Average
193,Rajshahi,Town,Average,Avarage,Recorded video,Somewhat attentive,Do not know,Isn't worry,Slightly effective,Good
213,Khulna,City,Good,Avarage,Online conference platforms,Sleepy,Isn't worry,Isn't worry,Moderately effective,Bad
211,Rajshahi,City,Average,Easy,Youtube,Somewhat attentive,Isn't worry,Isn't worry,Not at all effective,Average
182,Rajshahi,Village,Very Bad,Difficult,Recorded video,Sleepy,Is a worry,Is a worry,Not at all effective,Bad
193,Dhaka,City,Good,Difficult,Online conference platforms,Sleepy,Is a worry,Is a worry,Very effective,Good
181,Dhaka,City,Good,Easy,Recorded video,Somewhat attentive,Isn't worry,Isn't worry,Not at all effective,Good
182,Rangpur,Village,Bad,Difficult,Youtube,Sleepy,Is a worry,Isn't worry,Not at all effective,Bad
191,Barishal,City,Good,Avarage,Uploaded lecture notes,Somewhat attentive,Isn't worry,Is a worry,Not at all effective,Average
212,Khulna,City,Good,Avarage,Online conference platforms,Attentive,Isn't worry,Isn't worry,Slightly effective,Average
183,Rangpur,Town,Average,Difficult,Recorded video,Somewhat attentive,Isn't worry,Isn't worry,Moderately effective,Average
193,Dhaka,City,Good,Difficult,Online conference platforms,Sleepy,Is a worry,Is a worry,Very effective,Good
192,Khulna,City,Average,Easy,Youtube,Somewhat attentive,Isn't worry,Is a worry,Not at all effective,Average
173,Dhaka,Town,Average,Avarage,Recorded video,Somewhat attentive,Isn't worry,Isn't worry,Not at all effective,Bad
201,Chattogram,City,Average,Easy,Recorded video,Attentive,Isn't worry,Do not know,Extremely effective,Bad
171,Dhaka,Village,Bad,Difficult,Youtube,Sleepy,Do not know,Do not know,Not at all effective,Bad
173,Rangpur,Village,Bad,Avarage,Online conference platforms,Somewhat attentive,Do not know,Isn't worry,Not at all effective,Bad
201,Dhaka,City,Very Bad,Easy,Recorded video,Somewhat attentive,Do not know,Isn't worry,Not at all effective,Average
182,Rangpur,City,Average,Avarage,Uploaded lecture notes,Attentive,Isn't worry,Do not know,Not at all effective,Average
192,Mymensingh,Village,Average,Avarage,Youtube,Sleepy,Do not know,Do not know,Slightly effective,Average
173,Khulna,Village,Bad,Avarage,Online conference platforms,Somewhat attentive,Do not know,Is a worry,Not at all effective,Bad
202,Dhaka,City,Very Good,Avarage,Youtube,Somewhat attentive,Isn't worry,Is a worry,Extremely effective,Very Good
201,Mymensingh,Village,Bad,Difficult,Recorded video,Somewhat attentive,Is a worry,Isn't worry,Very effective,Bad
183,Chattogram,Town,Average,Difficult,Uploaded lecture notes,Sleepy,Do not know,Do not know,Slightly effective,Very Good
172,Khulna,City,Average,Easy,Recorded video,Attentive,Do not know,Isn't worry,Slightly effective,Average
173,Rangpur,Village,Very Bad,Difficult,Youtube,Sleepy,Do not know,Is a worry,Not at all effective,Bad
193,Dhaka,City,Good,Easy,Recorded video,Sleepy,Isn't worry,Is a worry,Moderately effective,Average
183,Dhaka,City,Average,Avarage,Uploaded lecture notes,Somewhat attentive,Do not know,Do not know,Slightly effective,Good
201,Mymensingh,Town,Average,Avarage,Recorded video,Sleepy,Do not know,Is a worry,Slightly effective,Good
213,Dhaka,City,Good,Avarage,Youtube,Sleepy,Isn't worry,Do not know,Moderately effective,Good
183,Dhaka,City,Good,Avarage,Youtube,Doing other activities,Isn't worry,Do not know,Moderately effective,Average
183,Rangpur,Town,Average,Difficult,Youtube,Sleepy,Do not know,Isn't worry,Very effective,Bad
202,Chattogram,Town,Average,Difficult,Uploaded lecture notes,Sleepy,Is a worry,Is a worry,Slightly effective,Average
182,Rangpur,Town,Bad,Avarage,Youtube,Somewhat attentive,Isn't worry,Is a worry,Moderately effective,Good
193,Dhaka,Town,Average,Avarage,Online conference platforms,Doing other activities,Isn't worry,Isn't worry,Slightly effective,Bad
173,Dhaka,Town,Average,Avarage,Uploaded lecture notes,Somewhat attentive,Isn't worry,Isn't worry,Slightly effective,Bad
181,Dhaka,City,Good,Avarage,Youtube,Sleepy,Do not know,Is a worry,Not at all effective,Bad
201,Dhaka,City,Good,Avarage,Youtube,Somewhat attentive,Isn't worry,Do not know,Moderately effective,Average
182,Barishal,City,Average,Easy,Youtube,Attentive,Isn't worry,Do not know,Very effective,Good
193,Dhaka,City,Bad,Easy,Recorded video,Somewhat attentive,Isn't worry,Do not know,Moderately effective,Good
202,Khulna,Village,Bad,Difficult,Youtube,Somewhat attentive,Isn't worry,IIs a worry,Not at all effective,Bad
192,Sylhet,Town,Good,Avarage,Youtube,Sleepy,Isn't worry,Isn't worry,Not at all effective,Bad
211,Dhaka,Town,Average,Avarage,Uploaded lecture notes,Sleepy,Do not know,Do not know,Slightly effective,Average
192,Dhaka,City,Good,Avarage,Recorded video,Attentive,Isn't worry,Do not know,Moderately effective,Average
173,Barishal,Town,Average,Difficult,Online conference platforms,Sleepy,Isn't worry,Is a worry,Slightly effective,Very Bad
202,Mymensingh,City,Good,Avarage,Online conference platforms,Sleepy,Do not know,Is a worry,Not at all effective,Average
191,Dhaka,Town,Average,Easy,Recorded video,Somewhat attentive,Is a worry,Isn't worry,Slightly effective,Good
193,Khulna,Town,Good,Difficult,Youtube,Somewhat attentive,Do not know,Isn't worry,Moderately effective,Average
193,Dhaka,City,Good,Easy,Uploaded lecture notes,Somewhat attentive,Isn't worry,Do not know,Slightly effective,Good
181,Barishal,Town,Average,Difficult,Youtube,Somewhat attentive,Isn't worry,Is a worry,Slightly effective,Good
173,Dhaka,Town,Average,Difficult,Online conference platforms,Sleepy,Do not know,Isn't worry,Very effective,Bad
182,Dhaka,City,Good,Avarage,Uploaded lecture notes,Attentive,Do not know,Isn't worry,Not at all effective,Bad
193,Rangpur,City,Average,Difficult,Online conference platforms,Sleepy,Do not know,Is a worry,Slightly effective,Good
211,Dhaka,City,Average,Easy,Uploaded lecture notes,Doing other activities,Isn't worry,Do not know,Not at all effective,Bad
212,Rajshahi,Village,Bad,Difficult,Uploaded lecture notes,Somewhat attentive,Do not know,Do not know,Moderately effective,Bad
192,Sylhet,Village,Bad,Difficult,Recorded video,Somewhat attentive,Do not know,Isn't worry,Not at all effective,Very Bad
172,Dhaka,Town,Average,Avarage,Youtube,Sleepy,Isn't worry,Isn't worry,Slightly effective,Average
201,Barishal,City,Average,Avarage,Online conference platforms,Somewhat attentive,Do not know,Do not know,Slightly effective,Average
211,Dhaka,City,Average,Easy,Recorded video,Somewhat attentive,Isn't worry,Isn't worry,Slightly effective,Good
201,Dhaka,Town,Average,Avarage,Youtube,Somewhat attentive,Do not know,Isn't worry,Not at all effective,Bad
192,Dhaka,City,Average,Avarage,Youtube,Sleepy,Is a worry,Isn't worry,Slightly effective,Average
173,Dhaka,Town,Average,Avarage,Recorded video,Sleepy,Is a worry,Isn't worry,Slightly effective,Very Bad
193,Sylhet,Town,Average,Avarage,Uploaded lecture notes,Sleepy,Do not know,Do not know,Moderately effective,Average
191,Rajshahi,Town,Average,Easy,Uploaded lecture notes,Sleepy,Do not know,Do not know,Not at all effective,Bad
202,Rajshahi,Town,Average,Avarage,Online conference platforms,Doing other activities,Isn't worry,Do not know,Not at all effective,Very Bad
213,Chattogram,Village,Bad,Difficult,Recorded video,Somewhat attentive,Do not know,Do not know,Not at all effective,Bad
201,Rangpur,Village,Good,Avarage,Youtube,Doing other activities,Do not know,Isn't worry,Slightly effective,Average
211,Dhaka,City,Bad,Easy,Recorded video,Attentive,Do not know,Is a worry,Slightly effective,Very Good
193,Rajshahi,Town,Average,Difficult,Youtube,Somewhat attentive,Do not know,Is a worry,Not at all effective,Bad
173,Dhaka,City,Average,Easy,Online conference platforms,Sleepy,Is a worry,Is a worry,Slightly effective,Average
193,Rajshahi,Town,Average,Avarage,Youtube,Doing other activities,Do not know,Do not know,Not at all effective,Very Bad
202,Khulna,City,Average,Difficult,Youtube,Sleepy,Is a worry,Do not know,Not at all effective,Very Bad
193,Dhaka,Town,Average,Difficult,Recorded video,Somewhat attentive,Is a worry,Do not know,Not at all effective,Very Bad
172,Dhaka,City,Average,Easy,Youtube,Somewhat attentive,Do not know,Isn't worry,Moderately effective,Average
191,Barishal,Town,Bad,Avarage,Uploaded lecture notes,Sleepy,Is a worry,Is a worry,Not at all effective,Bad
202,Chattogram,City,Good,Avarage,Youtube,Attentive,Is a worry,Do not know,Moderately effective,Average
182,Dhaka,City,Good,Avarage,Uploaded lecture notes,Doing other activities,Do not know,Isn't worry,Not at all effective,Very Bad
213,Rajshahi,City,Average,Avarage,Youtube,Attentive,Do not know,Do not know,Slightly effective,Good
192,Rangpur,Village,Bad,Difficult,Online conference platforms,Sleepy,Do not know,Is a worry,Moderately effective,Bad
212,Khulna,City,Good,Avarage,Uploaded lecture notes,Doing other activities,Do not know,Do not know,Slightly effective,Average
192,Rajshahi,Town,Good,Avarage,Youtube,Doing other activities,Do not know,Is a worry,Not at all effective,Very Bad
182,Barishal,City,Average,Easy,Recorded video,Somewhat attentive,Is a worry,Do not know,Moderately effective,Good
171,Mymensingh,Village,Bad,Difficult,Uploaded lecture notes,Sleepy,Do not know,Isn't worry,Not at all effective,Very Bad
192,Rangpur,Village,Very Bad,Difficult,Uploaded lecture notes,Somewhat attentive,Do not know,Do not know,Not at all effective,Very Bad
191,Dhaka,City,Good,Avarage,Recorded video,Somewhat attentive,Is a worry,Do not know,Very effective,Very Good
202,Dhaka,Town,Average,Difficult,Online conference platforms,Doing other activities,Is a worry,Is a worry,Not at all effective,Bad
212,Dhaka,Town,Average,Avarage,Online conference platforms,Sleepy,Is a worry,Do not know,Moderately effective,Good
192,Chattogram,City,Average,Easy,Recorded video,Attentive,Is a worry,Is a worry,Very effective,Bad
201,Chattogram,Village,Bad,Avarage,Youtube,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Very Bad
192,Khulna,City,Average,Avarage,Recorded video,Attentive,Do not know,Do not know,Moderately effective,Good
171,Dhaka,Town,Average,Avarage,Recorded video,Sleepy,Isn't worry,Do not know,Moderately effective,Average
203,Khulna,City,Average,Avarage,Recorded video,Sleepy,Do not know,Do not know,Slightly effective,Good
191,Dhaka,City,Average,Easy,Online conference platforms,Attentive,Is a worry,Do not know,Moderately effective,Very Good
192,Rangpur,Village,Bad,Difficult,Youtube,Attentive,Is a worry,Is a worry,Not at all effective,Very Bad
210,Barishal,City,Average,Difficult,Youtube,Sleepy,Do not know,Do not know,Slightly effective,Average
191,Rajshahi,Village,Very Bad,Difficult,Online conference platforms,Doing other activities,Do not know,Is a worry,Not at all effective,Bad
212,Dhaka,Village,Very Bad,Avarage,Uploaded lecture notes,Attentive,Is a worry,Do not know,Moderately effective,Average
211,Dhaka,City,Good,Easy,Recorded video,Attentive,Do not know,Is a worry,Slightly effective,Very Good
191,Rangpur,Village,Very Bad,Avarage,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Bad
211,Chattogram,City,Average,Easy,Uploaded lecture notes,Sleepy,Is a worry,Is a worry,Slightly effective,Average
181,Dhaka,City,Average,Easy,Youtube,Sleepy,Isn't worry,Is a worry,Slightly effective,Good
171,Chattogram,Town,Good,Avarage,Recorded video,Somewhat attentive,Do not know,Do not know,Slightly effective,Good
172,Dhaka,City,Very Good,Avarage,Youtube,Attentive,Do not know,Is a worry,Moderately effective,Average
193,Barishal,Village,Very Bad,Difficult,Recorded video,Doing other activities,Is a worry,Is a worry,Not at all effective,Bad
211,Dhaka,Town,Good,Avarage,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Bad
182,Khulna,Village,Very Bad,Difficult,Youtube,Sleepy,Do not know,Is a worry,Not at all effective,Very Bad
192,Rajshahi,Village,Average,Avarage,Uploaded lecture notes,Doing other activities,Is a worry,Is a worry,Slightly effective,Bad
183,Dhaka,City,Bad,Easy,Recorded video,Somewhat attentive,Is a worry,Isn't worry,Slightly effective,Good
173,Khulna,City,Average,Easy,Recorded video,Attentive,Do not know,Do not know,Slightly effective,Average
202,Dhaka,Town,Average,Avarage,Online conference platforms,Sleepy,Is a worry,Is a worry,Not at all effective,Very Bad
193,Barishal,Village,Very Bad,Difficult,Recorded video,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Bad
213,Dhaka,Town,Average,Difficult,Online conference platforms,Sleepy,Is a worry,Is a worry,Not at all effective,Bad
